PHRASE,START,END
what is up I'm,0.1,1.26
Nike Master Trainer Betina Gozo and welcome to our NTC community workout we're coming at you live from my living room here in Los Angeles I'm so excited to have you today so let's just get right into it we're just gonna start to bounce side to side getting that heart rate,1.52,15.299999
up,15.57,15.76
today's workout is gonna be a ton of fun all you need is yourself,16.279999,20.0
a mat if you have one of course some water because we're really gonna get after it today we're gonna start off with our warmup,20.23,25.75
then we'll go with a little core,26.429999,27.69
then we'll get that heart rate up a little bit then we'll take it to a strength set,28.07,30.889999
then we'll start interweaving,31.099999,31.55
that little,32.4,32.859998999999995
agility set I got for you,33.27,34.529999
and then boom we'll have a finisher,35.09,36.44
then I'll answer some of your questions,36.71,37.96
then we'll be,38.29,38.85
done,39.34,39.48
so let's just go ahead and meet at the back of the mat here if you have one,39.94,42.81
big reach up,43.25,43.75
nice and high,44.24,45.11
bend those knees,45.33,46.32
and walk it out into a high plank position,46.55,49.32
rock forward and,49.719999,50.68
back,50.95,51.1
maybe on those wrists a little bit maybe side to side,51.75,54.35000000000001
and then walk your hands back you can bend those knees a,54.690001,57.92
little bit for a little more space big reach up,58.68,61.27
take it back down,62.01,62.959999
we're gonna go through that a few times here,63.51,65.22
so I have to give a shout out,66.349999,67.689999
to,68.099999,68.189999
my girl so super Sam,68.52,70.48
for creating today's amazing playlist,70.889999,73.67999999999999
and she's also a fella Filipina,74.23,75.25
and we're celebrating,76.19,77.25
Asian,77.72,78.24
Pacific American Heritage Month here at Nike,78.47,81.2
so we got to represent the Pinas let's,81.48,83.1
get a few more,84.7,85.54
last one after this,86.12,87.73
big reach up maybe straighten out those legs a little bit more,88.15,90.95
walk it out high plank,91.99,93.52
let's go ahead and take that foot outside of your hand,93.95,97.02
I want you to take the elbow down,97.44,98.98
and then open it up big reach try to reach to the ceiling big spread through the chest,99.22,102.92
take it back down,103.24,104.179999
big exhale all the way up,104.65,107.069999
fully extend that leg back if you feel comfortable,108.369999,110.6
or you can keep it on the ground,110.89,112.15
we'll get two more just like that big reach up,112.41,114.85
and then last one take it down,115.94,117.67
open it up,118.28,118.96
alright let's place both hands on the ground push yourself back into that high plank,120.23,123.629999
let's take the other foot outside you can rest that knee,123.889999,126.61
or,126.88,127.23
extend big reach up,127.49,129.37
how fun is it that we get to work out,130.79,132.75
together,133.25,133.79
all of us every single week,134.309999,135.82000000000002
bringing you,136.37,136.98999999999998
live workouts from our living room,137.84,139.51999999999998
what's up Quinn,140.38,141.02
I hope you're ready for a great workout,141.38,143.17000000000002
