ORIGINAL_WORD,START_TIME,END_TIME
hey,14.219999,14.389999
guys,16.879999,16.909999000000003
it's,16.91,16.96
Kelly,,
from,,
Fitness,,
Blender,,
dot,,
com,,
and,,
today,,
I,,
have,,
a,,
body,,
weight,,
only,,
cardio,17.789999,18.149999
workout,18.17,18.49
for,18.53,18.69
you,18.69,18.89
we're,19.13,19.26
going,19.26,19.44
to,19.44,19.46
be,19.46,19.55
doing,19.55,19.86
45,19.86,20.26
seconds,20.27,20.62
on,20.63,20.89
with,20.89,20.98
15,20.98,20.99
seconds,21.44,21.8
reps,21.8,21.94
and,22.11,22.22
then,22.22,22.35
A,22.39,22.58
B,22.58,22.85
A,22.88,23.06
B,23.06,23.29
format,23.31,23.82
I've,24.06,24.21
included,24.21,24.64
your,24.64,24.78
warmup,24.78,25.26
and,25.28,25.47
your,25.610000000000003,25.700000000000003
cooldown,25.700000000000003,26.03
so,26.23,26.34
let's,26.34,26.52
go,26.52,26.63
ahead,26.630000000000003,26.78
and,26.78,26.880000000000003
get,26.880000000000003,27.020000000000003
started,27.02,27.42
alright,28.66,29.02
so,29.02,29.14
we've,29.139999,29.319999
got,29.32,29.55
a,29.58,29.73
built,29.73,30.11
in,30.11,30.29
warmup,30.29,30.7
we're,30.71,30.76
gonna,30.759999,30.919999
start,30.92,31.23
off,31.23,31.42
with,31.429999,31.579999
that,31.59,31.82
45,31.82,32.47
on,32.480000000000004,32.900000000000006
15,33.02,33.309999999999995
seconds,33.309999,33.719998999999994
rest,33.719999,34.149999
structure,34.659999,35.169999000000004
but,35.480000000000004,35.63
we're,35.629999,35.709999
going,,
to,,
start,35.869999,36.059999
nice,36.07,36.33
and,36.33,36.5
light,36.5,36.81
so,36.81,36.99
that,37.0,37.13
we,37.13,37.43
like,37.81,38.010000000000005
I,38.01,38.1
said,38.1,38.3
we,38.3,38.32
have,38.35,38.51
a,38.51,38.56
built,38.56,38.86
in,38.86,39.02
warmup,39.02,39.400000000000006
so,39.4,39.54
go,39.54,39.64
ahead,39.64,39.87
and,,
get,39.9,40.04
your,40.04,40.17
feet,40.18,40.43
moving,40.43,40.76
we're,40.76,40.83
gonna,,
start,40.98,41.31
off,41.34,41.56
with,,
sidestep,,
jacks,,
so,,
nice,,
and,,
light,,
start,,
on,,
one,,
side,41.79,42.12
just,42.13,42.17
step,42.17,42.46
out,46.8,47.13
and,47.41,47.6
so,,
you're,47.63,47.78
doing,47.78,48.1
the,48.48,48.580000000000005
motion,48.58,48.91
of,48.91,49.02
a,49.02,49.06999999999999
jumping,49.07,49.43
jack,49.429999,49.629999000000005
with,49.63,49.75
your,49.75,49.86
arms,49.86,50.2
but,50.2,50.31
you're,50.309999,50.389999
just,50.389999,50.559999000000005
kind,50.559999,50.669999
of,50.67,50.78
tapping,50.78,51.23
lightly,51.27,51.74
from,52.049999,52.219999
side,52.219999,52.499999
to,52.5,52.58
side,52.58,52.96
instead,52.969999,53.189999
of,53.190001,53.260001
jumping,53.300001,53.77000099999999
so,57.120001,57.290001
increasingly,57.46,58.32
these,58.37,58.53
intervals,58.58,59.01
are,59.01,59.07
gonna,59.07,59.25
get,59.25,59.49
sweatier,60.06,60.77
and,60.77,60.900000000000006
sweatier,61.73,61.74
his,61.74,61.89
first,61.9,62.23
little,62.23,62.43000000000001
bunch,62.429999,62.899999
is,62.929999,63.169999
quite,63.179999,63.549999
easy,63.94,64.48
while,64.65,64.78
our,64.78,64.9
muscles,64.9,65.30000000000001
are,65.3,65.35
warming,65.349999,65.66999899999999
up,65.67,65.98
after,66.44,66.73
that,66.73,67.05
it's,,
gonna,,
turn,67.28,67.46000000000001
into,67.46000000000001,67.68
a,67.679999,67.74999899999999
sweat,67.75,68.05
best,68.049999,68.349999
hopefully,68.349999,68.80999899999999
we're,70.4,70.63000000000001
