PHRASE,START,END
hi be,3.99,4.390000000000001
fitters,4.62,4.9
I'm your coach today Allie Cohen,5.15,6.74
did you know protein can help muscle recovery after workout check out be fit whey protein and get your own at be fit calm you ready to get sweaty I have a quick 10 minute workout for you today,7.0,11.32
it has four circuits,11.86,13.219999
two strength moves,13.549999,14.67
and one cardio move,14.94,16.09
you guys ready to go,16.699999,17.71
let's do it,18.539999,19.28
all right we're going to start with a warm up,19.63,21.44
we're going to go into a wide,21.73,23.14
squat squat right here,23.88,24.91
feet back in the center,25.27,26.47
and then one to the other side good so you're doing one right,26.74,29.980000000000004
and one left,30.24,30.83
let's go,31.62,32.239999000000005
to the side,32.87,33.59
good,34.389999,34.789999
give me that squat we're just getting those legs,35.239999999999995,37.44
nice and warm,37.65,38.72
big inhale big exhale,39.3,40.7
perfect getting that body,41.2,42.64
ready to get really sweaty,43.28,45.04
perfect,45.78,46.34
go ahead back to the middle again,47.28,48.970000000000006
side step,49.73,50.289999
your arms just in front of you,50.57,52.330000000000005
keep that chest up,52.969999,54.06
weight in the center,54.75,55.67
good,56.11,56.49
get that breath going that breath is gonna help with your,57.88,60.21
movements you want to make sure you keep breathing good one more each side,60.66,64.28999999999999
and,65.91,66.07
back to the middle,66.3,66.63
press off that heel good you look,66.83999999999999,68.19
great last one,68.44,69.62
good right into jump rope so your,70.190001,71.98999900000001
feet are just going to go side to side,72.479999,73.53999999999999
arms right by your side circling like you would a jump rope,74.19,77.15
and you want to again big inhale big exhale,78.12,80.49000000000001
get,81.88,82.00999999999999
that blood,82.24999999999999,82.49999999999999
moving flowin wakin up that body,82.94,86.35000000000001
perfect nice and easy light on those toes,87.17,89.44999899999999
alright,90.459999,90.839999
we're gonna go for five more ready,91.75,93.47
five,94.01,94.41
four,95.0,95.37
three you're doing great two more,95.88,97.29
and last one good shake it out,97.84,99.539999
alright,99.929999,100.439999
first circuit,101.02,101.89
you're gonna go ahead and pick up a set of light dumbbells now,102.46,105.099999
you want to get something light,105.58,106.959999
but not too light,107.27,108.31
you want to keep the form,108.58,109.64
don't be afraid to pick up heavier weight,110.27,111.94
roll your shoulders back we're coming into a squat position you're gonna curl the dumbbells,112.63,117.75
and press,118.03,118.49
straight up,118.75,119.38
all right let's try it chest up,120.17,121.65
on this,121.87,122.279999
as we squat,122.49,123.53
good,124.58,124.95
elbows in by your side,125.18,126.53
press it straight up,126.949999,128.01
and back down perfect so you got this loop,128.45000000000002,131.1
we're getting the arms press it straight up,131.7,133.86
all the way back down good chest up but,134.36,136.49999999999997
don't forget to breathe squeeze those abs,138.01999999999998,140.11
press it straight up,141.08,141.84
you got it good weight,142.99,144.01
in the heels abs in tight,144.6,146.66
press it,147.16,147.6
up,147.85,147.87
good,148.49,148.83
give me one more,149.29,150.29000000000002
chest up,151.00000000000003,151.06000000000003
curl the dumbbells and press it up beautiful all right the next move is,152.51,154.42999999999998
a lateral lunge with the row,158.059999,159.539999
you're going to set to the side flat back,160.07,162.23
row the dumbbells,162.82999999999998,163.84
back down,164.14,164.95
and then,165.31,165.63
switch legs,165.95,166.37
other side,166.88,167.58
row it,167.85,168.19
back,168.66,168.69
down,169.2,169.67999999999998
let's go you guys one,170.54,171.61
straight supporting leg flat back,173.309999,175.569999
back to the middle,176.639999,177.099999
good,177.859999,178.359999
lunge,179.43,179.89
row,180.49,181.0
down but let's pick up that pace okay now it's in our body,181.47,184.92
row good exactly I want a big exhale,185.27,188.27
Michelle I hear you breathing back here that's perfect Chandler,188.99,191.9
use that breath,192.46,193.28
good,193.88,194.33
my team kicks booty flat back,195.429999,197.289999
you guys are killing it looking,198.01,199.04
so good you have one more each side,199.289999,200.96
row,201.43,201.78
it press off that heal good,203.01,204.25
back is nice,204.47,205.02
and flat last,205.29,205.54
one back to the middle good,205.87,207.859999
set your weights down,208.219999,209.25
because we have our first cardio,209.46,211.11
move,211.389999,211.419999
arms come up,212.0,212.78
nice smash it right down the center of your chest is,213.27,214.199999
gonna,215.269999,215.389999
get the cardio going,216.09,217.39
abs working,217.7,218.42
let's go you guys,218.86,219.91
down,220.2,220.64
down,221.16,221.7
down good big exhale down that check perfect,222.24,225.0
you want to chop those arms straight down the side of your body,225.27,228.67
knee comes up big exhale each time nice Chandler perfect,229.69,232.949999
when the knees come up,233.34,234.339999
you're gonna feel those ABS,234.73,235.84
contracting and you're doing it just,236.08,237.88
fine,238.08,238.56
keep going you have five more,239.14,240.98
four more,241.83,242.53
three more,243.11,243.94
two more,244.24,244.29
and last,245.42,245.989999
one good your first break,246.259999,248.24
take a sip of water if you,248.82,250.03
need it but these are quick we're,250.92,251.65999900000003
gonna move,252.11999900000004,252.27999900000003
very shortly,252.55999900000003,253.39999900000004
so for this next circuit,254.02999900000003,255.13
all you're gonna need,255.56,256.51
is one,256.8,257.54
dumbbell okay one dumbbell for this next,257.86,260.15000000000003
this next block so,260.77,262.039999
first move we're gonna start with our feet together go with the forward lunge,262.389999,265.8
chop it to the side,266.17,267.18
press off the heel and switch sides,267.69,270.04
all right,271.04,271.63
you ready Michelle,271.96,272.89
all right knee in line with that heel,273.25,274.76
lunge,275.17,275.75
and back to the,276.41,276.85
center,277.12,277.55
good,277.82,278.13
lunge,279.05,279.41
back to the center chest up,280.03,281.49
beautiful,282.58,283.48
and you keep that dumbbell in that chest,283.92,285.779999
good,287.139999,287.559999
it comes right to the side on that chop,288.02,290.03000000000003
to getting those abs in,290.76,292.15000000000003
with those,292.93,293.37
legs,293.64,293.93
perfect,294.91,295.51000000000005
one more each side,296.51,297.73999999999995
back,298.34,298.44999999999993
to the middle,298.86,299.33
last one,300.38,301.17
good work perfect,302.03,303.31
all right move,303.75,304.46000000000004
to I want you to put your toes out in a nice,304.78000000000003,306.99
plie squat,307.63,308.03
position,308.32,308.6
elbows behind you right by your ears,309.02,311.58000000000004
wait behind your head you're going to take the weight down,311.84,314.31
in a plie,314.679999,315.05
squat drive it,316.31,316.45
up towards the ceiling,316.79,317.95
