ORIGINAL_WORD,START_TIME,END_TIME
what,0.1,0.56
is,0.6,0.93
up,,
I'm,0.98,1.26
Nike,1.52,1.83
Master,1.83,2.21
Trainer,2.21,2.53
Betina,2.53,2.89
Gozo,,
and,3.38,3.56
welcome,3.75,4.37
to,4.37,4.54
our,4.54,4.67
NTC,4.7,5.17
community,5.17,5.53
workout,5.53,6.0600000000000005
we're,6.24,6.37
coming,6.37,6.61
at,6.61,6.800000000000001
you,6.8,6.94
live,6.94,7.31
from,7.32,7.48
my,7.48,7.65
living,7.65,7.92
room,7.92,8.12
here,8.13,8.530000000000001
in,8.639999,8.679998999999999
Los,8.7,8.989999999999998
Angeles,9.0,9.41
I'm,9.44,9.57
so,9.57,9.82
excited,9.82,10.25
to,10.26,10.28
have,10.29,10.52
you,10.52,10.63
today,10.63,10.98
so,11.139999,11.239999
let's,11.24,11.4
just,11.42,11.61
get,11.61,11.79
right,11.79,12.01
into,12.009999,12.349999
it,12.349999,12.499999
we're,12.66,12.79
just,12.79,12.93
gonna,12.929999,13.099999
start,13.099999,13.289999
to,13.29,13.36
bounce,13.36,13.64
side,13.639999,13.889999
to,13.889999,13.979999
side,13.98,14.33
getting,14.38,14.61
that,14.61,14.76
heart,14.77,15.01
rate,15.009999,15.299999
up,15.57,15.76
today's,16.279999,16.589999
workout,16.59,16.98
is,16.98,17.12
gonna,17.119999,17.329999
be,17.34,17.56
a,17.59,17.73
ton,17.779999,18.059999
of,18.059999,18.229999000000003
fun,18.25,18.58
all,18.74,18.96
you,18.96,19.130000000000003
need,19.13,19.29
is,19.29,19.43
yourself,19.43,20.0
a,20.23,20.36
mat,20.36,20.64
if,20.64,20.74
you,20.75,20.9
have,20.9,21.24
one,21.24,21.56
of,21.68,21.84
course,21.84,22.11
some,22.12,22.32
water,22.32,22.59
because,22.59,22.76
we're,22.76,22.9
really,22.9,23.19
gonna,23.19,23.34
get,23.34,23.5
after,23.5,23.83
it,23.83,23.94
today,23.94,24.360000000000003
we're,24.56,24.68
gonna,24.68,24.83
start,24.83,25.08
off,25.08,25.14
with,25.17,25.32
our,25.32,25.45
warmup,25.45,25.75
then,26.429999,26.599999000000004
we'll,26.599999,26.689999
go,26.69,26.82
with,26.82,26.95
a,26.95,26.99
little,26.99,27.19
core,27.19,27.69
then,28.07,28.18
we'll,,
get,28.3,28.47
that,28.469999,28.579999
heart,28.58,28.8
rate,28.8,28.97
up,28.969999,29.139999000000003
a,29.139999,29.189999
little,29.19,29.42
bit,29.42,29.64
then,29.639999,29.759999
we'll,29.759999,29.849999
take,29.849999,30.029999
it,30.03,30.11
to,30.11,30.21
a,30.21,30.28
strength,30.28,30.55
set,30.559999,30.889999
then,31.099999,31.229999
we'll,31.23,31.32
start,31.32,31.54
interweaving,31.54,31.55
that,32.4,32.43
little,32.599999,32.859998999999995
agility,33.27,33.73
set,33.74,33.940000000000005
I,33.94,34.0
got,34.0,34.24
for,34.239999999999995,34.379999999999995
you,34.379999,34.529999
and,35.09,35.27
then,35.27,35.4
boom,35.4,35.64
we'll,35.639999,35.709999
have,35.709999,35.859998999999995
a,35.859999,35.909999
finisher,35.91,36.44
then,36.71,36.85
I'll,36.85,36.93
answer,36.93,37.19
some,37.19,37.31
of,37.31,37.38
your,37.38,37.470000000000006
questions,37.47,37.96
then,38.29,38.48
we'll,38.48,38.65
be,38.65,38.85
done,39.34,39.48
so,39.94,40.08
let's,40.08,40.3
just,40.3,40.46
go,40.46,40.61
ahead,,
and,40.72,40.8
meet,40.8,41.01
at,41.07,41.23
the,41.23,41.32000000000001
back,41.32,41.53
of,41.53,41.63
the,,
mat,41.68,41.92
here,41.92,42.17
if,42.2,42.24
you,42.24,42.34
have,42.34,42.46
one,42.61,42.81
big,43.25,43.39
reach,43.58,43.73
up,43.73,43.75
nice,44.24,44.510000000000005
and,44.51,44.67
high,44.67,45.11
bend,45.33,45.63
