ORIGINAL_WORD,START_TIME,END_TIME
hey,5.71,5.73
guys,5.73,5.890000000000001
welcome,6.16,6.37
back,6.54,6.84
so,6.84,7.07
today,7.07,7.37
I,7.44,7.45
thought,7.45,7.51
is,7.77,7.909999999999999
a,7.99,8.200000000000001
full,8.28,8.569999999999999
body,8.71,8.870000000000001
workout,8.87,9.23
that's,9.37,9.47
gonna,9.469999,9.659999
work,9.66,9.9
multiple,9.98,10.54
muscle,10.55,10.96
groups,11.0,11.26
at,11.32,11.48
the,11.48,11.51
same,11.509999,11.769999
time,11.79,12.11
it's,12.46,12.590000000000002
also,12.69,13.13
gonna,13.13,13.32
help,13.32,13.52
you,13.549999,13.709999
to,13.71,13.83
burn,13.83,14.17
fat,14.799999,14.889999
this,15.7,15.92
workout,,
is,15.92,16.04
part,,
of,,
a,,
lean,,
dance,,
program,,
and,,
you,,
can,,
find,,
the,,
full,,
schedule,,
over,,
here,,
now,,
don't,,
forget,,
to,,
snap,,
some,,
progress,,
photos,,
and,,
videos,,
so,,
you,,
can,,
share,,
it,,
with,,
the,,
rest,,
of,,
us,,
and,,
also,,
hit,,
that,,
thumbs,,
up,,
button,,
subscribe,,
internal,,
caches,,
and,,
let's,,
get,,
started,,
we,,
have,,
24,16.05,16.06
exercises,16.06,16.15
today,16.15,16.49
most,16.52,16.689999999999998
exercises,16.859999,17.449999
are,17.529999,17.539999
30,17.539999,18.539999
seconds,,
with,,
five,,
seconds,18.85,19.23
rest,19.23,19.42
in,19.43,19.51
between,19.51,20.0
let's,20.29,20.48
start,20.48,20.78
with,20.78,20.94
butt,,
kickers,,
kick,21.25,21.46
up,25.58,25.71
your,25.71,25.79
legs,25.79,26.04
behind,26.04,26.42
you,26.42,26.44
fast,27.27,27.32
load,27.32,27.37
and,27.54,27.71
bring,27.719999,27.939999
up,27.94,28.11
the,28.11,28.25
speed,28.25,28.64
for,29.059999,29.199999
low,29.2,29.38
impact,29.380000000000003,29.800000000000004
you,29.84,29.96
can,29.96,30.11
just,30.11,30.4
take,30.4,30.59
it,30.59,30.72
slow,50.21,50.24
now,55.08,55.24
with,55.24,55.48
lunch,55.54,55.93
tab,55.93,56.21
lunch,56.28,56.64
slightly,56.64,57.05
to,57.05,57.19
one,57.19,57.43
side,57.43,57.71
and,60.14,60.25
touch,80.36,80.53999999999999
your,90.769998,90.859998
toe,,
with,,
your,,
opposite,,
hand,,
now,,
we,,
have,,
snowboarding,91.029999,91.309999
jump,91.34,91.63
squats,91.63,91.88
Luis,,
squats,,
and,,
take,,
a,,
90,,
degrees,,
jump,,
to,,
the,,
other,,
side,,
then,,
do,92.27,92.49
another,92.49,92.59
squat,92.59,92.98
and,93.12,93.23
repeat,97.45,97.69
for,97.89,97.96
low,98.13,98.26
impact,98.26,98.65
you,98.65,98.67
can,,
just,,
do,,
the,99.309999,99.419999
squat,99.42,99.59
get,125.0,125.23
ready,125.23,125.54
for,125.54,125.71
some,125.75,126.11
high,126.24,126.48
knees,126.48,126.71
bring,126.92,127.09
your,127.09,127.2
knee,127.2,127.41
up,127.46,127.64
to,127.64,127.84
a,,
hip,,
level,128.24,128.65
and,128.96,129.03
get,129.06,129.25
your,129.25,129.39
core,129.46,129.8
and,129.85,129.88
do,130.03,130.18
it,130.18,130.26000000000002
as,130.27,130.53
fast,130.64,130.86
as,130.93,131.11
you,131.11,131.22000000000003
can,131.22,131.54
you,131.63,131.86
