4.080000	17.875734	2
18.400000	30.944009	16
31.720000	34.709852	30
35.160000	38.250000	36
38.500000	45.190112	37
45.910000	48.955955	49
49.310000	49.330000	52
49.550000	52.270000	53
52.500000	56.695963	54
57.625405	64.227649	62
65.900000	73.490019	77
73.970000	80.364685	83
81.935122	86.117611	96
87.120000	89.627056	103
90.300100	91.090000	108
92.046810	100.331664	110
101.210000	101.820000	124
102.260000	119.289076	125
120.220000	123.760013	151
124.670000	144.688483	157
145.780000	148.566500	184
149.335693	155.312967	187
156.090000	171.690376	195
172.980000	178.356719	216
179.300000	193.259841	224
193.940000	194.782203	245
195.540000	200.919726	247
201.590000	206.111781	256
206.630000	240.933807	262
241.622876	242.440144	295
242.990000	243.882382	299
244.470000	248.080896	301
248.870000	270.147131	305
271.020000	271.400000	335
272.070115	285.787397	356
287.230000	293.944052	358
295.081817	295.514489	370
296.630000	297.850000	372
298.340000	299.100000	373
300.290000	300.760000	375
301.812260	302.693627	378
303.150000	303.240000	379
303.690000	321.715139	380
322.480000	332.884468	402
333.813910	339.614910	421
340.100000	348.043988	422
348.941380	353.960000	435
354.261634	359.309466	437
360.220000	381.311602	443
382.650000	389.516332	466
390.330000	395.958327	477
396.599321	397.270000	488
398.580000	401.294606	490
401.967650	421.806430	494
422.799971	423.104444	517
424.114010	426.245317	518
426.902336	432.014267	521
432.990000	438.167814	529
439.210000	439.594027	540
441.160000	441.790000	544
442.730000	446.548817	545
447.610000	448.030000	551
449.260000	449.580000	552
450.550000	451.484475	553
452.240000	457.061127	556
457.610000	470.794434	564
472.000000	473.759034	581
474.720526	482.572708	586
483.341902	485.328984	600
486.580000	486.880000	605
488.080000	488.890000	607
489.590000	494.206758	608
494.880000	495.420000	617
496.674587	498.709745	618
499.810000	500.536579	626
501.760000	502.430000	629
502.990000	505.904908	630
506.670000	508.484911	635
509.090000	538.996249	638
540.100000	555.758255	677
556.830000	566.174416	691
566.879510	574.427220	703
575.148339	576.975173	712
577.970000	578.370000	715
579.090000	582.439651	716
583.144745	589.122019	721
590.540000	591.040000	733
592.610000	601.877809	737
602.670000	604.265514	753
604.700000	609.569743	755
610.530000	618.527641	766
619.270000	620.851246	781
621.530000	631.091133	785
632.100000	642.212388	798
642.709159	679.005472	806
680.080000	690.319025	855
692.210000	704.388854	871
704.980000	712.369236	884
713.440000	720.686139	897
721.390000	726.370000	905
727.015960	738.340000	923
738.762184	746.140000	932
746.518218	756.070000	947
758.100000	760.748296	951
761.250000	763.420000	955
763.970000	766.230000	956
766.850000	774.721976	958
