PHRASE,START,END
what is up ,0.1,1.26
Nike Master Trainer Betina Gozo and welcome to our NTC community workout we're coming at you live from my living room here in Los Angeles I'm so excited to have you today so let's just get right into it we're just gonna start to bounce side to side getting that heart ,1.52,15.299999
,15.57,15.76
today's workout is gonna be a ton of fun all you need is ,16.279999,20.0
a mat if you have one of course some water because we're really gonna get after it today we're gonna start off with our ,20.23,25.75
then we'll go with a little ,26.429999,27.69
then we'll get that heart rate up a little bit then we'll take it to a strength ,28.07,30.889999
then we'll start ,31.099999,31.55
that ,32.4,32.859998999999995
agility set I got for ,33.27,34.529999
and then boom we'll have a ,35.09,36.44
then I'll answer some of your ,36.71,37.96
then we'll ,38.29,38.85
,39.34,39.48
so let's just go ahead and meet at the back of the mat here if you have ,39.94,42.81
big reach ,43.25,43.75
nice and ,44.24,45.11
bend those ,45.33,46.32
and walk it out into a high plank ,46.55,49.32
rock forward ,49.719999,50.68
,50.95,51.1
maybe on those wrists a little bit maybe side to ,51.75,54.35000000000001
and then walk your hands back you can bend those knees ,54.690001,57.92
little bit for a little more space big reach ,58.68,61.27
take it back ,62.01,62.959999
we're gonna go through that a few times ,63.51,65.22
so I have to give a shout ,66.349999,67.689999
,68.099999,68.189999
my girl so super ,68.52,70.48
for creating today's amazing ,70.889999,73.67999999999999
and she's also a fella ,74.23,75.25
and we're ,76.19,77.25
,77.72,78.24
Pacific American Heritage Month here at ,78.47,81.2
so we got to represent the Pinas ,81.48,83.1
get a few ,84.7,85.54
last one after ,86.12,87.73
big reach up maybe straighten out those legs a little bit ,88.15,90.95
walk it out high ,91.99,93.52
let's go ahead and take that foot outside of your ,93.95,97.02
I want you to take the elbow ,97.44,98.98
and then open it up big reach try to reach to the ceiling big spread through the ,99.22,102.92
take it back ,103.24,104.179999
big exhale all the way ,104.65,107.069999
fully extend that leg back if you feel ,108.369999,110.6
or you can keep it on the ,110.89,112.15
we'll get two more just like that big reach ,112.41,114.85
and then last one take it ,115.94,117.67
open it ,118.28,118.96
alright let's place both hands on the ground push yourself back into that high ,120.23,123.629999
let's take the other foot outside you can rest that ,123.889999,126.61
,126.88,127.23
extend big reach ,127.49,129.37
how fun is it that we get to work ,130.79,132.75
,133.25,133.79
all of us every single ,134.309999,135.82000000000002
bringing ,136.37,136.98999999999998
live workouts from our living ,137.84,139.51999999999998
what's up ,140.38,141.02
I hope you're ready for a great ,141.38,143.17000000000002
we've got two more just like ,144.07999999999998,145.44
take it down big ,146.13,148.43
all right let's go ahead and place the hand down we're gonna bring it back to that high plank bend those ,149.31,154.0
walk those hands ,154.27,155.66
roll yourself up nice and ,155.99,157.979999
we're just gonna take into a regular reverse ,158.58,160.800001
so stepping it back you can rest the knee on the ground we'll drive through the ,161.01,164.54
bring it back ,164.79,165.79
shoulders are ,166.0,166.81
you can let that a knee just go a little past your toe you don't want to go too far forward so your heel comes up you just want to really drive through ,168.03,174.259999
front heel to bring yourself back to standing ,174.53,177.12
we'll go two more each ,177.57,179.06
make sure you're ,180.15,181.0
last one each ,182.05,183.05
all right now I want you to take your feet about hip width we'll take it to two different movement patterns here first we're taking it into a squat so sitting back driving the knees ,184.93,193.069999
then we'll ,193.28,194.32
and then bring it back up so I want you to feel the difference between these two ,194.98,198.88
with that squat you're bending those knees feeling it more in those ,199.21,202.67
,202.94000000000003,203.1
that ,203.48,204.11
you should ,204.37,205.11
in the ,205.58,206.22
of those ,206.5,207.279999
so sit it ,207.969999,208.759999
hinge it ,209.469999,210.37
huh Rosio so glad you were able to make it this ,211.02,214.76
we've been loving having you every single ,215.279999,217.44
at our ,217.81,218.68
we've got a few more just like this ,219.21,220.71
so we will revisit this hinge later ,222.46,224.88
in a single leg ,226.87,228.24
