ORIGINAL_WORD,START_TIME,END_TIME
today's,5.48,5.7700000000000005
workout's,5.77,6.23
going,,
to,6.25,6.27
consist,6.27,6.619999999999999
of,6.62,6.75
six,6.79,7.21
blocks,7.21,7.62
including,7.62,7.97
a,7.97,8.03
warm,8.03,8.33
up,8.33,8.49
and,8.599999,8.779999
a,8.78,8.819999999999999
flexibility,8.82,9.47
block,9.469999,9.809999
before,10.42,10.77
we,10.77,10.87
start,10.87,11.13
each,11.15,11.35
block,11.349999,11.669999
we're,11.69,11.82
gonna,11.82,11.97
demonstrate,11.969999,12.519999
each,12.599999,12.859999
of,12.86,12.99
the,12.99,13.16
exercises,13.16,14.06
once,14.259999,14.519999
we're,14.52,14.68
done,14.679999,15.029999
go,15.139999,15.319999
ahead,15.32,15.56
hit,15.57,15.8
that,15.799999,15.989999
pause,15.99,16.29
button,16.289999,16.549999000000003
and,16.549999,16.669999
it'll,16.67,16.92
be,16.92,17.03
your,17.029999,17.259999
turn,17.299999,17.629998999999998
with,18.289999,18.469999
that,18.469999,18.639999000000003
being,18.64,18.92
said,18.92,19.290000000000003
we're,19.32,19.49
gonna,19.49,19.53
get,19.53,19.68
started,19.68,19.97
with,19.97,20.08
this,20.08,20.23
warm,20.23,20.49
up,20.49,20.700000000000003
we've,20.87,21.03
got,21.04,21.25
five,21.25,21.66
exercises,21.68,22.46
starting,22.68,23.08
first,23.08,23.34
D,23.34,23.66
let's,23.7,23.86
get,23.86,24.01
that,24.01,24.16
March,24.16,24.43
going,24.43,24.78
we,24.94,25.07
got,25.07,25.23
our,25.23,25.37
high,25.37,25.71
knees,25.71,26.03
here,26.03,26.37
we're,26.51,26.64
gonna,26.639999,26.819999
get,26.82,26.95
that,26.95,27.11
knee,27.11,27.39
up,27.429999,27.689999000000004
towards,27.7,28.12
the,28.12,28.31
hip,28.309999,28.679999
arms,28.87,29.31
proud,29.33,29.74
chest,29.74,30.1
nice,30.099999,30.429999
and,30.429999,30.639999000000003
