PHRASE,START,END
today's workout is a hundred percent low impact it's all standing it's ideal for new exercisers and people returning to exercise ,0.29,10.64
it features real body project members enjoy welcome to a real start plus let's get the knees up into the hands guys get the core nice and tight how you feeling you ready for this Wade you ready ,11.21,24.76
this is the big one the real start plus workout today and we have Wade and Angie Mullins with ,25.33,31.98
and they're here to show you how it's done I can't tell you how excited we are to have these guys all the way over from Vermont USA keep that core tight let's get the hamstrings warm now little ,34.65,46.409999
and ,47.09,47.77
the real Start Plus plan takes us further than the real start plan but please as ,48.75,54.689999
you can pause whenever you want to you can take a break whenever you need to we have got some tough stuff ,55.439999,61.57
today it's okay we do it our way hands out in front core tight and we open ,63.1,67.02
,67.78,68.41
,68.99,69.50999999999999
Angie and Wade have both lost 60 pounds using body project ,70.4,76.35
and they're here to show ,77.18,78.58
how it's done real people real workouts real ,79.11,84.689999
breathe today we're just gonna enjoy ,85.23,87.969999
and we're ,88.59,88.999999
dip and reach ,89.699999,90.459999
just here to ,91.36,92.32
pause buttons ,92.96,93.95
pause buttons your friend whenever you need to use it we've ,94.93,99.02
40 seconds ,99.63,100.44
and 20 seconds ,101.05,102.79
with active marching ,103.469999,106.34
that's a challenge but you guys have got to pick your place in ,106.98,110.77
doesn't mean you have to do the whole thing I just want you to finish with us enjoy moving your body today enjoy being with us I feel lucky to be ,112.19,122.729999
with these wonderful body ,123.38,125.089999
and I hope you feel the same little ,125.66,129.21
you feeling warm feeling ready for ,130.44,133.19000000000003
you're feeling warm already we're gonna start with a 20 second march we're kind of doing it now but I'm going to officially start ,133.99,141.99
in a second and the first exercise is going to be a hooking ,142.65,146.63
with the left ,147.23,148.28
okay so we're going to start with the March we're gonna pick it up ,149.01,152.0
,153.26,153.76
,154.91,155.46
core tight 20 seconds and we're gonna move straight into that hooking ,156.809999,161.57999999999998
,162.52,163.04000000000002
,164.24,164.73000000000002
breathe I'm gonna count us down into it enjoying that ,165.92,169.51
and coming ,170.66,171.37
in three ,173.02,173.85
one with me hooking knee there ,176.839999,179.08999899999998
go so keeping nice and strong you can have weights with you like ,182.209999,186.26
I'll be honest I don't envy her one little ,187.45,190.709999
it's tough enough you can go ,191.27,193.079999
you can go ,194.799999,195.72
it's your ,196.24,196.939999
let's ,197.9,198.439999
let's ,199.279999,199.97
be ,200.71,201.23
,201.78000000000003,202.01
deep ,203.46,204.32
,205.26,206.12
work through you've got that water you've got that towel at any time you can go to ,208.79,213.36
and ,214.6,215.06
in ,215.92,216.45
and in one that was 40 seconds of ,217.469999,219.8
,220.55,221.21
breathe get that energy back ,222.21,224.09
focus good crisp movements good ,225.32,228.899999
it's not about keeping up it's about doing it ,229.549999,231.64
we're gonna go ,232.369999,233.22
to the other side in ,233.85,235.43
,236.27,236.51
one here we go so the opposite side ,237.59,240.04
really important we got that core ,240.55,243.65
all our ,244.349999,245.44
everything we ,247.96,248.89
here we will start is one low impact and two ,249.78,254.18
so you could be ,254.69,255.77
that you can be involved ,256.54,257.69
work out the whole way ,258.64,260.94
that's different than saying you have to do every single ,262.29,265.20000000000005
but you can be doing it with ,265.75,267.489999
feeling this now already ,270.809999,273.56
,274.39,274.88
one I'm loving ,275.76,277.37
feel the energy from these ,278.139999,279.79999999999995
deep breaths hydrate ,281.099999,283.799999
if you need ,284.389999,285.17999899999995
looking good their way the next exercise is gonna be a shoulder raise ,286.43,290.4
shoulder raise lunge I finally got that which is going to ,291.49,295.25
here three two one here we go so the pace is ,299.32,301.9
,302.62,302.72
,303.23,303.31
go ,303.99,304.7
or you can go fast it is called real Star ,305.5,312.74
in case you're already a little bit upset with ,313.5,315.56
for the ,316.83,317.56
and the ,318.33,319.13999900000005
but this is about taking your body on that bit ,320.08,322.459999
feel good wherever you ,323.32,325.32
if you need to break halfway through it's about progress not perfection do your best march whenever you have to be ,325.82,334.14
,334.78,335.22
,336.02,336.51
and ,337.349999,338.08
and a nice ,339.13,340.34
next ,342.779999,343.38
is a touch and ,343.92,346.38
raise okay and we're gonna touch and raise into the ,347.0,350.94
knee ,351.58,352.02
fast pace keep marching if you have ,353.62,355.699999
,356.4,356.95
,357.9,358.19
one here we go so we touch one ,359.199999,362.05
forty seconds ,363.77,365.13
you're gonna find that that build ,365.63,367.47
is ,368.349999,369.209999
through the planted leg not the one that you're raising ,370.149999,374.53
come on ,376.5,377.209999
let's work ,378.24,379.0
it's about ,380.2,381.2
the physical body can do so much it's in the ,381.87,385.22
about determination that's what gets you ,386.04,388.66
the ,389.53,390.41
I know you ,391.0,391.83
I know you ,392.83,393.82
in ,394.559999,395.19
,396.02,396.32
and ,397.35,397.91
and ,398.99,399.59
get that ,402.25,403.21
use that towel if you need ,403.78,406.31
good work ,406.91,407.88000000000005
loving that extra effort ,408.429999,409.519999
can feel ,410.309999,410.92
,411.63,412.23
and them weights all ,412.940001,413.74
I so don't envy you we got straight punches three two ,414.75,418.83
I practiced this workout the other ,420.27,422.24
I've got about 20 seconds in with weights ,423.15,425.08
I thought I'll give them to ,425.67,427.14
I don't think I can do ,428.43,430.0
not ready for ,430.629999,431.28
it's tough enough as it ,432.73,434.43
,435.62,435.67
that core ,436.71,437.61
get them punches out ,438.4,439.95
your best ,440.99,442.109999
punch ,443.07,443.8
as always at body project you can punch anyone you ,444.36,447.34
except Angie me or Wade that's off ,447.91,451.589999
as much as you might want to ,452.91,454.48
,455.38000000000005,455.5100000000001
and ,456.93,457.68
march it ,459.26,460.16
deep ,462.639999,463.489999
deep ,464.34,464.889999
feeling ,466.190001,466.99
we've got this we've got this it's the touch and knee raise coming to the ,469.1,473.75
keep ,474.8,475.68
,477.0,477.43
,478.099999,478.549999
,479.219999,479.719999
so we come we lift the left knee ,480.41,482.369999
,483.029999,483.339999
that core strong you can slow right down if you just want to put some squats in for a second as well that's fine you can kind of stand to like ,486.07,495.059999
I might have lost everybody ,495.929999,497.26
but it's important to show you some ,498.28,499.709999
,500.429999,501.609999
working ,502.289999,503.019999
remember this workout is designed to be ,504.47,506.89
please press pause whenever you have ,507.56,511.35
take an extra break whenever you need ,512.09,515.07
and ,516.759999,518.33
and ,519.08,519.63
,522.699999,523.709999
we've got a little bit of time off cardio ,524.239999,526.5899999999999
that's the good ,527.43,528.33
the bad news is we've got some more tough work on the legs with some ,529.03,534.34
resistance in ,534.96,536.4
,537.059999,537.3199989999999
and one let's step it out ,538.369999,540.0300010000001
work it ,541.690001,542.55
,543.28,543.7099999999999
core ,545.08,545.83
we got ,546.68,547.5600000000001
feel the ,548.9300000000001,549.65
believe in yourself believe you can because you ,550.49,554.26
and you ,554.77,555.539999
this ,557.93,558.809999
it's like an Everest you ,559.46,561.23
to keep stepping up keep working on ,561.79,564.01
here to find the place that you can get ,566.45,569.0699989999999
working ,570.809999,571.779999
,573.46,573.94
,574.92,575.4399999999999
and one ,576.369999,577.949999
march it ,578.6,579.4899999999999
good work there Wade loving that bud ,580.5,583.38
are you going Angie good Angie I've been wanting to do that for years ,584.09,590.559999
right I don't think Angie likes me as much as she did ,591.4,594.49
other side ,595.24,596.38
,596.92,597.16
one here we ,597.8,598.78
so I like a little arm movement remember the lower you ,599.82,602.78
the tougher it is if you feel a twinge in your lower ,603.28,606.9599999999999
just stop ,607.52,609.19
pushing ,610.9,611.7700000000001
dig in ,612.59,613.3000000000001
working ,614.25,615.3499999999999
suck up the adrenaline 40 seconds of ,615.98,619.2800000000001
keep working keep ,620.45,621.86
,625.53,625.91
dig ,626.54,627.92
come on we can ha we ,629.029999,633.05
we got ,634.14,635.0600000000001
,636.09,636.5600000000001
,637.85,638.39
one and march keep marching ,639.54,641.3800000000001
gonna take a ,645.9500000000002,646.8199999999999
breather ,647.5,648.3399999999999
it's ,649.0,649.7900000000001
take your time don't ,650.32,652.51
the clock keeps ticking doesn't mean you have ,653.92,656.65
,657.559999,658.059999
,658.67,659.13
one we've got hamstring punches now so the opposite hamstring we squeeze that muscle ,659.73,666.82
the knee and the bum it's called the hamstring and we throw a punch ,667.4,671.62
you can put a little dip in there as ,672.14,674.04
if you want ,674.73,675.74
be ,676.57,677.3
be focused be ,678.19,680.62
keep ,687.11,687.91
come ,688.53,689.06
come ,689.73,690.21
stay ,690.83,691.74
stay ,692.55,693.45
dig 3 ,696.71,697.61
,698.88,699.13
I hope you're enjoying today's workout if you'd like to take part in the rest of the real Start Plus plan with myself Angie and Wade come and join us at teen body project ,702.049999,712.269999
I don't really think it's fair to have the word just anywhere near this ,713.389999,717.5599990000001
to be honest ,718.09,718.95
,719.940001,720.1800010000001
there it's ,721.590001,722.2600000000001
loving the energy guys next up we've got oblique crunches it's gonna be two crunches on each side ,722.83,729.3
are you ,729.91,730.45
deep breathes remember ,733.01,733.9200000000001
can pump out the march or you can just walk it out both of them are ,734.65,739.0799989999999
we're winners we're winning this is the halfway mark ,739.61,743.73
two one here we ,744.42,746.4599989999999
,747.21,747.6800000000001
,748.61,748.99
two and again one two we pause in the middle ,749.639999,753.9499999999999
two so you're really then get that ,754.49,756.8499989999999
on the ,758.42,759.16
squeezing that muscle down ,761.47,763.15
don't worry if it takes you a second to get ,765.0699999999999,766.39
keep working through ,769.97,771.27
two one two almost ,775.16,776.39
well they might have a cheeky surprise for everybody ,777.87,780.77
knows ,783.8,784.3
,785.75,786.22
and ,787.97,788.8299999999999
get some water guys ,790.18,791.91
halfway ,792.91,793.81
believe it or ,799.01,799.74
I have ,800.349999,801.3499989999999
this ,801.91,802.73
to ,803.28,804.009999
enjoyed I have designed this workout for you guys to enjoy ,804.69,809.8100000000001
,810.57,810.6400000000001
feel like a bit ,811.66,812.3100000000001
a fibber feeling that adrenaline working through now though ,813.1400000000001,817.29
you're feeling good this second half we're gonna put in even more than the first half we're gonna really ,817.85,823.5
how we can do it how we can roll our best ,824.009999,827.189999
your personal best effort not my best not Wade's best not Angie's best your best effort is what I want to see now come on we've got this we're gonna move back into the hook and knees left hand first ,827.719999,841.649999
three come ,842.17,843.4300000000001
in ,843.94,844.5300000000001
and one let's go now come on let's dig ,845.190001,848.5799999999999
breathe it through work it through core ,849.21,853.09
we got ,855.29,855.85
we got it come ,856.38,857.83
come ,858.34,858.7
come ,859.219999,859.48
big ,861.349999,861.719999
big ,862.359999,862.729999
that pain you're stronger than the ,863.27,865.6800000000001
you're stronger than the pain you're stronger than anything you can do this come ,866.71,872.27
work through change your ,873.33,875.24
change your life everything's coming for you ,875.84,878.63
this starts right now it starts with the next punch it starts with the next knee ,879.46,884.87
,885.73,886.15
and ,886.93,887.8100000000001
channeling it up ,892.5,893.72
feeling it ,894.59,895.4699989999999
big ,899.809999,900.439999
big ,901.27,901.82
big desire ,902.57,903.66
,904.59,904.99
one come ,905.96,906.61
let's do ,907.32,908.14
we ,908.82,909.19
keep breathing ,916.24,916.720001
that core strong every ,917.590001,919.85
every ,920.49,921.1
every ,923.68,924.37
second matters if you need to pull up to come back and love ,925.52,930.409999
take a few ,931.049999,932.059999
gather ,932.65,933.44
come back ,933.95,934.71
it's all ,935.25,936.22
every single moment that passes push push push work three two and one and ,936.809999,937.89
this is tough ,951.149999,951.929999
this is real ,952.75,953.35
this is the ,954.41,954.96
start big ,957.71,958.51
if I were where you are right ,960.64,962.27
and I didn't have these guys watching I'd be taking an extra cheeky ,962.78,965.69
but I'm gonna go ,966.65,967.79
,968.29,968.7
one here we ,969.21,969.95
get that core ,971.5,972.699999
,974.089999,974.899999
we got ,976.89,977.31
we ,978.71,979.28
perseverance ,982.33,984.82
,985.54,986.02
they're the things that ,986.71,987.94
,989.49,989.93
is in the ,990.64,991.42
more than in the ,992.11,993.37
your strength ,993.89,994.95
in your ,995.78,996.45
in your heart if you like in your ,998.63,1000.709999
that's where we ,1002.259999,1003.49
,1004.44,1004.85
,1005.799999,1006.189999
and ,1007.27,1007.9
we ,1008.8,1009.48
next ,1012.47,1012.88
touching knee ,1013.67,1014.83
we know these are ,1015.52,1016.569999
we know these ,1017.51,1018.63
your mind ,1019.27,1020.03
you might want to march ,1020.799999,1021.84
you can pump the ,1022.42,1023.559999
for the ,1024.109999,1024.88
,1025.87,1026.2
,1027.3200000000002,1027.73
