so,so,9.84,10.03
today,today,10.03,10.29
is,is,10.29,10.399999999999999
your,your,10.4,10.51
strength,strength,10.51,10.87
one,one,10.87,11.139999999999999
workout,workout,11.139999,11.509998999999999
you're,you're,11.509999,11.599999
gonna,gonna,11.599999,11.759999
be,be,11.759999,11.869999
doing,doing,11.87,12.11
chest,chest,12.12,12.61
legs,legs,12.61,12.899999999999999
and,and,12.9,13.030000000000001
back,back,13.04,13.469999999999999
this,this,13.84,14.12
workout,workout,14.12,14.559999999999999
you're,you're,14.589999,14.749999
gonna,gonna,14.75,14.92
start,start,14.92,15.17
with,with,15.17,15.28
a,a,15.28,15.319999999999999
dynamic,dynamic,15.32,15.84
warmup,,,
you're,you're,16.26,16.35
gonna,gonna,16.35,16.51
move,move,16.51,16.71
into,into,16.75,17.01
your,your,17.01,17.150000000000002
stretch,stretch,17.15,17.49
series,series,17.5,17.92
and,and,18.219999,18.399999
then,then,18.4,18.49
you're,you're,18.49,18.59
gonna,gonna,18.59,18.74
do,do,18.74,18.869999999999997
two,two,18.87,19.290000000000003
different,different,19.29,19.689999999999998
circuits,circuits,19.69,20.200000000000003
each,each,20.63,20.88
exercise,exercise,20.91,21.55
in,in,21.55,21.64
the,the,21.64,21.740000000000002
circuit,circuit,21.740000000000002,22.160000000000004
is,is,22.19,22.34
going,,,
to,,,
be,be,22.5,22.62
comprised,comprised,22.62,23.03
of,of,23.04,23.18
30,,,
seconds,seconds,23.61,24.13
and,and,24.32,24.5
the,the,24.5,24.54
equipment,equipment,24.54,24.96
that,that,24.96,25.07
you're,you're,25.07,25.17
gonna,gonna,25.17,25.330000000000002
need,need,25.33,25.56
today,today,25.56,25.849999999999998
is,is,25.85,25.970000000000002
a,a,25.97,26.07
pull,pull,26.09,26.33
up,up,26.33,26.409999999999997
bar,bar,26.41,26.72
a,a,26.75,26.85
set,set,26.849999,27.049999
of,of,27.05,27.150000000000002
dumbbells,dumbbells,27.15,27.689999999999998
or,or,27.7,28.009999999999998
resistance,resistance,28.009999999999998,28.52
bands,,,
and,,,
for,for,29.16,29.21
today's,today's,29.21,29.6
workout,workout,29.599999,29.969999
we,we,29.969999,30.079999
have,have,30.08,30.259999999999998
clutch,clutch,30.259999,30.559999
bodyshop,<unk>,30.57,31.080000000000002
athlete,athlete,31.130000000000003,31.67
professional,professional,31.889999,32.449999
firefighter,firefighter,32.46,33.230000000000004
and,and,33.25,33.46
former,former,33.46,33.96
nfl,<unk>,33.980000000000004,34.400000000000006
football,football,34.4,34.73
player,player,34.730000000000004,35.02
michael,michael,35.049999,35.409999
gas,gas,35.41,35.699999999999996
person,person,35.699999,35.959998999999996
joining,joining,35.959998999999996,36.279999
us,us,36.279999000000004,36.409999000000006
and,and,36.799999,36.969999
remember,remember,36.97,37.42
for,for,37.59,37.730000000000004
today's,today's,37.73,38.12
workout,workout,38.12,38.48
and,and,38.48,38.65
every,every,38.69,38.989999999999995
single,single,38.99,39.300000000000004
workout,workout,39.3,39.779999999999994
in,in,39.79,39.92
the,the,39.92,40.02
caleche,<unk>,40.019999999999996,40.24999999999999
live,live,40.29,40.48
24,<unk>,40.480000000000004,40.74
7,<unk>,40.92,41.230000000000004
fitness,fitness,41.230000000000004,41.56
trainer,trainer,41.57,41.96
you,you,42.15,42.35
can,can,42.35,42.5
follow,follow,42.5,42.79
along,along,42.79,43.11
at,at,43.11,43.24
home,home,43.24,43.54
in,in,43.55,43.73
real,real,43.730000000000004,44.040000000000006
time,time,44.04,44.44
using,using,44.44,44.72
your,your,44.72,44.83
tablet,tablet,44.83,45.36
smartphone,<unk>,45.37,46.07
tv,tv,46.09,46.67
or,or,46.74,46.96
computer,computer,46.96,47.43
let's,let's,47.759999,47.959999
get,get,47.96,48.12
started,started,48.12,48.41
with,with,48.41,48.5
the,the,48.5,48.6
strength,strength,48.599999,48.969998999999994
1,,,
workout,workout,49.15,49.5
and,and,49.509999,49.629999
begin,begin,49.63,49.89
our,our,49.889999,49.989999000000005
dynamic,dynamic,49.99,50.52
warm,warm,50.519999999999996,50.739999999999995
ups,ups,54.79,54.949999999999996
starting,starting,56.83,57.239999999999995
with,with,57.24,57.39
jogging,jogging,57.41,57.87
in,in,57.87,57.97
place,place,57.97,58.28
michael,michael,58.32,58.58
is,,,
going,,,
to,,,
get,get,58.78,58.94
us,us,58.94,59.01
started,started,59.019999999999996,59.56999999999999
each,each,59.92,60.18
one,one,60.18,60.339999999999996
of,of,60.34,60.45
these,these,60.45,60.63
exercises,exercises,60.64,61.36
in,in,61.36,61.46
this,this,61.46,61.61
dynamic,dynamic,61.61,62.08
warm,warm,62.08,62.29
up,up,62.29,62.41
is,is,62.44,62.559999999999995
going,,,
to,,,
be,be,62.72,62.83
completed,completed,62.83,63.269999999999996
a,a,63.269999999999996,63.33
total,total,63.33,63.61
of,of,63.61,63.73
30,,,
seconds,seconds,64.059999,64.389999
and,and,65.309999,65.45999900000001
again,again,65.46000000000001,65.81
every,every,66.099999,66.439999
warmup,warmup,66.44,66.83
that,that,66.83,66.97
you,you,66.969999,67.099999
do,do,67.099999,67.299999
as,as,67.299999,67.439999
part,part,67.44,67.64
of,of,67.639999,67.729999
this,this,67.73,67.86
trainer,trainer,67.87,68.24000000000001
should,should,68.25,68.4
be,be,68.41,68.58
on,on,68.58,68.71
a,a,68.71000000000001,68.76
scale,scale,68.759999,69.099999
of,of,69.099999,69.19999899999999
7,<unk>,69.2,69.58
to,to,69.599999,69.709999
10,,,
10,<unk>,69.87,70.41000000000001
being,being,70.42,70.8
the,the,71.08,71.22
highest,highest,71.219999,71.719999
intensity,intensity,71.719999,72.289999
that,that,72.289999,72.41999899999999
you,you,72.42,72.54
can,can,72.54,72.67
have,have,72.67,73.02
so,so,73.27,73.38
you,you,73.38,73.44
want,want,73.44999899999999,73.649999
to,to,73.65,73.77000000000001
you,you,73.83,74.03
really,really,74.03,74.35
want,want,74.35,74.50999999999999
to,to,74.51,74.54
be,be,74.54,74.66000000000001
pushing,pushing,74.66,75.03
it,it,75.03,75.13
during,during,75.13,75.39
the,the,75.39,75.47
warm,warm,75.47,75.65
up,up,75.65,75.76
we,we,75.76,75.87
want,want,75.87,76.08
to,to,76.08,76.14
get,get,76.14,76.26
the,the,76.26,76.34
muscles,muscles,76.34,76.79
ready,ready,76.79,77.14
to,to,77.14,77.28
do,do,77.28,77.46000000000001
work,work,77.46,77.83999999999999
so,so,78.31,78.55
just,just,78.55,78.82
about,about,78.82,79.05999999999999
10,,,
seconds,seconds,79.36,79.76
left,left,79.76,80.30000000000001
how,how,81.34000000000002,81.36000000000001
you,you,81.53,81.55
feeling,feeling,81.55,81.8
say,say,81.8,81.96
michael,michael,81.96000000000001,82.29
ready,ready,82.889999,83.049999
killer,killer,83.149999,83.319999
which,which,85.42,85.60000000000001
you've,you've,85.599999,85.759999
made,made,85.82,86.0
it,it,86.0,86.02
4,<unk>,86.53,86.92999999999999
3,<unk>,87.39,87.85
2,<unk>,88.28999999999999,88.77
1,<unk>,89.06,89.19
good,good,89.459999,89.659999
moving,moving,89.67,90.01
on,on,90.01,90.16000000000001
to,to,90.16,90.25999999999999
the,the,90.26,90.36
next,next,90.36,90.63
exercise,exercise,90.63,91.33999999999999
jumping,jumping,91.36,91.7
jacks,jacks,91.7,92.10000000000001
there,there,93.03,93.13
we,we,93.13,93.24
go,go,93.24,93.39
so,so,93.39,93.52
michaels,michaels,93.52,93.86999999999999
taking,taking,93.87,94.12
a,a,94.12,94.19
nice,nice,94.19,94.58
wide,wide,94.6,94.97
stance,stance,94.97,95.42999999999999
don't,don't,95.76,96.06
half,half,96.07,96.33999999999999
ass,ass,96.34,96.61
jumping,jumping,96.61,96.94
jacks,jacks,96.94,97.24
i,i,97.24,97.3
hate,hate,97.3,97.53999999999999
seeing,seeing,97.54,97.74000000000001
people,people,97.74,98.07
at,at,98.08,98.1
a,a,98.099999,98.159999
gym,gym,98.16,98.41
kind,kind,98.41,98.55
of,of,98.55,98.61
going,going,98.63,98.91
like,like,98.91,99.07
this,this,99.07,99.27999999999999
come,come,99.28,99.52
all,all,99.62,99.89
the,the,99.9,100.0
way,way,100.0,100.24
up,up,100.24,100.39999999999999
bring,bring,100.41,100.61
your,your,100.61,100.73
feet,feet,100.73,100.98
nice,nice,100.98,101.26
and,and,101.259999,101.38999899999999
wide,wide,101.389999,101.799999
just,just,102.08,102.46
about,about,104.2,104.42
halfway,halfway,104.429999,104.97999899999999
there,there,104.98,105.48
it's,it's,109.029999,109.109999
important,important,110.73,111.08
that,that,111.1,111.25999999999999
you're,you're,111.26,111.38000000000001
really,really,111.38,111.61999999999999
focusing,focusing,111.62,112.17
during,during,112.17,112.44
your,your,112.44,112.56
workout,workout,112.56,113.10000000000001
getting,getting,113.32,113.61
your,your,113.61,113.72
mind,mind,113.72,114.16
in,in,114.19,114.42
the,the,114.42,114.53
zone,zone,114.53,114.86
for,for,114.86,114.99
the,the,114.99,115.05999999999999
workout,workout,115.06,115.44
that,that,115.44,115.55
is,is,115.55,115.64999999999999
about,about,115.65,116.08000000000001
to,to,116.09,116.13000000000001
take,take,116.15,116.46000000000001
place,place,116.47,116.87
good,good,116.87,117.18
four,four,119.44,119.94
three,three,120.34,120.84
two,two,121.2,121.67
one,one,122.03,122.3
good,good,122.299999,122.439999
we're,we're,122.44,122.53999999999999
gonna,gonna,122.53999999999999,122.72
get,get,122.719999,122.889999
right,right,122.889999,123.14999900000001
into,into,123.15,123.32000000000001
butt,butt,123.32,123.55999999999999
kicks,kicks,123.559999,123.749999
warm,warm,124.029999,124.339999
the,the,124.34,124.43
hamstrings,hamstrings,124.43,124.99000000000001
up,up,124.99,125.22999999999999
go,go,125.789999,125.91999899999999
michael,michael,125.92,126.19
if,,,
you,,,
can,can,126.279999,126.39999900000001
just,just,126.4,126.52000000000001
turn,turn,126.52,126.75999999999999
to,to,126.76,126.84
the,the,126.84,126.94
side,side,126.94,127.34
show,show,127.34,127.47
the,the,127.47,127.56
people,people,127.56,127.88
at,at,127.88,127.97
home,home,127.97,128.38
the,the,128.71,128.85
angle,angle,128.85,129.17
so,so,129.17,129.32
his,his,129.32,129.51999999999998
knee,knee,129.52,129.66
is,is,129.66,129.77
staying,staying,129.77,130.10000000000002
right,right,130.1,130.32999999999998
underneath,underneath,130.35,130.75
his,his,130.75,130.95
hips,hips,130.95,131.38
and,and,131.84,132.08
that,that,132.08,132.24
leg,leg,132.24,132.5
is,is,132.5,132.6
just,just,132.6,132.79
coming,coming,132.8,133.15
right,right,133.15,133.43
back,back,133.43,133.65
to,to,133.65,133.8
his,his,133.8,133.95000000000002
butt,butt,133.95,134.2
and,and,134.23,134.45999999999998
kicking,kicking,134.46,134.79000000000002
it,it,134.79,134.97
hence,hence,135.02,135.34
the,the,135.34,135.43
name,name,135.429999,135.689999
butt,butt,135.69,135.9
kicks,kicks,135.9,136.51000000000002
good,good,137.49,137.73000000000002
keeping,keeping,137.77,138.04000000000002
the,the,138.04,138.13
upper,upper,138.139999,138.379999
body,body,138.38,138.67
nice,nice,138.67,138.92999999999998
and,and,138.929999,139.069999
relaxed,relaxed,139.07,139.85
while,while,140.799999,141.019999
you're,you're,141.02,141.19
warming,warming,141.19,141.53
up,up,141.53,141.69
you,you,141.69,141.77
don't,don't,141.77,141.96
want,want,141.96,142.06
to,to,142.059999,142.10999900000002
be,be,142.109999,142.229999
holding,holding,142.23,142.56
your,your,142.559999,142.679999
breath,breath,142.68,142.96
you,you,142.969999,143.07999900000002
want,want,143.07999999999998,143.20999999999998
to,to,143.209999,143.239999
be,be,143.24,143.38
breathing,breathing,143.379999,143.939999
you,you,143.940001,144.070001
want,want,144.07,144.23999999999998
to,to,144.24,144.26000000000002
be,be,144.26,144.48999999999998
loosening,loosening,144.83,145.32000000000002
up,up,145.32,145.64
so,so,146.55,146.73000000000002
just,just,146.73,146.97
about,about,146.97,147.21
10,,,
seconds,seconds,147.49,147.9
left,left,147.9,148.4
good,good,149.51,149.82
five,five,149.82,150.48
four,four,150.73,151.41
three,three,151.81,152.4
two,two,152.809999,153.299999
one,one,153.36,153.64000000000001
switch,switch,153.639999,153.80999899999998
you,you,153.809999,153.849999
right,right,153.969999,154.199999
into,into,154.2,154.41
a,a,154.41,154.51
switch,switch,154.51,154.73999999999998
kick,kick,154.84,155.03
with,with,155.03,155.18
arm,arm,155.179999,155.41999900000002
circles,circles,155.42,155.98999999999998
so,so,157.0,157.16
he's,he's,157.16,157.29999999999998
kicking,kicking,157.299999,157.559999
those,those,157.559999,157.799999
legs,legs,157.799999,158.09999900000003
out,out,158.099999,158.359999
getting,getting,158.36,158.52
those,those,158.52,158.66
shoulders,shoulders,158.66,159.1
nice,nice,159.11,159.35000000000002
and,and,159.349999,159.479999
warmed,warmed,159.48,159.72
up,up,159.719999,160.039999
keep,keep,160.35,160.54999999999998
in,in,160.549999,160.65999900000003
mind,mind,160.66,160.98
that,that,160.98,161.10999999999999
his,his,161.109999,161.27999899999998
arms,arms,161.279999,161.599999
are,are,161.6,161.66
just,just,161.66,161.84
parallel,parallel,161.859999,162.319999
with,with,162.32,162.45999999999998
his,his,162.459999,162.549999
shoulders,shoulders,162.56,163.02
we're,we're,163.02,163.11
trying,trying,163.11,163.34
to,to,163.34,163.39000000000001
get,get,163.39,163.52999999999997
the,the,163.53,163.63
shoulder,shoulder,163.63,164.0
socket,socket,164.0,164.4
nice,nice,164.4,164.71
and,and,164.71,164.87
warm,warm,164.87,165.25
get,get,165.69,166.02
blood,blood,166.02,166.35000000000002
moving,moving,166.35,166.67
into,into,166.67,166.86999999999998
all,all,166.87,167.08
the,the,167.08,167.14000000000001
muscles,muscles,167.15,167.75
they,they,168.31,168.57
are,are,168.57,168.70999999999998
about,about,168.71,169.0
to,to,169.01,169.14999999999998
work,work,169.15,169.45000000000002
today,today,169.59,170.09
but,but,180.479999,180.509999
five,five,180.68,180.93
seconds,seconds,180.93,181.24
left,left,181.24,181.53
four,four,181.53,181.94
three,three,182.45,182.95999999999998
two,two,183.45,183.88
one,one,184.35,184.81
moving,moving,184.93,185.26000000000002
right,right,185.26,185.54999999999998
into,into,185.55,185.97
walking,walking,186.04,186.42
high,high,186.42,186.64
knees,knees,186.64,186.91
let's,let's,187.02,187.32000000000002
get,get,187.32,187.44
our,our,187.44,187.52
hip,hip,187.52,187.70000000000002
flexors,<unk>,187.71,188.13
nice,nice,188.15,188.41
and,and,188.41,188.53
warmed,warmed,188.53,188.74
up,up,188.74,188.89000000000001
michael,michael,188.92,189.2
did,did,189.2,189.32999999999998
a,a,189.33,189.37
lot,lot,189.37,189.59
of,of,189.59,189.66
these,these,189.66,189.79999999999998
back,back,189.809999,189.999999
in,in,190.0,190.06
his,his,190.059999,190.179999
football,football,190.179999,190.469999
days,days,190.469999,190.839999
go,go,193.02,193.20000000000002
so,so,193.2,193.32999999999998
again,again,193.33,193.63000000000002
with,with,194.11,194.3
all,all,194.309999,194.63999900000002
of,of,194.639999,194.73999899999998
these,these,194.74,194.94
warm,warm,194.94,195.25
up,up,195.25,195.5
exercises,exercises,195.54,196.12
you,you,196.119999,196.219999
want,want,196.219999,196.349999
to,to,196.35,196.41
make,make,196.41,196.54999999999998
sure,sure,196.549999,196.719999
that,that,196.719999,196.759999
you're,you're,196.77,196.93
keeping,keeping,196.93,197.19
your,your,197.190001,197.33000099999998
core,core,197.369999,197.72999900000002
nice,nice,197.73,198.17
and,and,198.199999,198.379999
tight,tight,198.38,198.82999999999998
you,you,200.52,200.60000000000002
don't,don't,200.6,200.78
want,want,200.78,200.89000000000001
to,to,200.89,200.95
just,just,200.95,201.10999999999999
kind,kind,201.12,201.28
of,of,201.28,201.31
be,be,201.32,201.42
throwing,throwing,201.42,201.82
your,your,201.82,201.93
body,body,201.93,202.25
around,around,202.25,202.54
we're,we're,202.54,202.63
trying,trying,202.63,202.88
to,to,202.88,202.94
tell,tell,202.94,203.16
the,the,203.16,203.25
body,body,203.25,203.57
hey,hey,203.57,203.76
guess,guess,203.76,203.98
what,what,203.98,204.14999999999998
we're,we're,204.15,204.26000000000002
getting,getting,204.26,204.51999999999998
ready,ready,204.52,204.69
to,to,204.69,204.78
work,work,204.78,205.19
i,i,210.31,210.32
mean,mean,211.37,211.52
everything,,,
nice,nice,211.96,212.21
and,and,212.21,212.31
engage,engage,212.309999,212.699999
good,good,212.73,212.91
at,at,212.91,213.07
five,five,213.07,213.60999999999999
four,four,213.94,214.54
three,three,214.73,215.20999999999998
two,two,215.66,216.1
and,and,216.41,216.82
one,one,216.83,217.11
perfect,perfect,217.119999,217.519999
alright,alright,217.58,217.83
so,so,217.83,217.97
that,that,217.97,218.25
concludes,<unk>,218.25,218.72
our,our,218.75,218.86
dynamic,dynamic,218.86,219.33
warmup,,,
we're,we're,219.66,219.71
going,,,
to,,,
move,move,219.85,220.06
right,right,220.06,220.28
into,into,220.28,220.47
our,our,220.47,220.58
stretch,stretch,220.58,220.88000000000002
series,series,220.88,221.22
perfect,perfect,229.79,230.20999999999998
the,the,231.02,231.15
array,array,231.15,231.24
intuit,<unk>,231.24,231.58
our,our,231.62,231.74
first,first,231.74,232.02
exercise,exercise,232.029999,232.619999
is,is,232.619999,232.759999
a,a,232.76,232.85
seated,seated,232.85,233.32999999999998
hamstring,hamstring,233.619999,234.149999
stretch,stretch,234.15,234.51000000000002
so,so,234.52,234.70000000000002
he,he,234.7,234.97
is,is,234.97,235.14
going,going,235.15,235.36
to,to,235.36,235.48000000000002
sit,sit,235.48,235.79999999999998
on,on,235.83,235.99
his,his,235.99,236.22
