hello,hello,0.12,0.39
everybody,everybody,0.46,0.97
welcome,welcome,0.97,1.3199999999999998
back,back,1.33,1.62
thank,thank,1.62,1.8800000000000001
you,you,1.88,2.03
so,so,2.03,2.26
much,much,2.26,2.5
for,for,2.5,2.63
joining,joining,2.63,3.04
me,me,3.04,3.22
today,today,3.22,3.6300000000000003
we,we,3.63,3.77
are,are,3.77,3.84
doing,doing,3.84,4.22
a,a,4.28,4.49
beginner,beginner,4.49,5.09
style,style,5.1,5.6899999999999995
15,<unk>,6.02,6.27
minute,minute,6.27,6.6499999999999995
full,full,6.96,7.4399999999999995
body,body,7.48,7.95
cardio,cardio,8.02,8.59
workout,workout,8.59,9.12
with,with,9.12,9.44
no,no,9.52,9.99
equipment,equipment,10.0,10.7
so,so,11.0,11.25
all,all,11.25,11.46
you,you,11.46,11.57
need,need,11.57,11.780000000000001
today,today,11.78,12.139999999999999
is,is,12.139999,12.379999
yourself,yourself,12.38,12.99
and,and,13.02,13.32
a,a,13.33,13.5
little,little,13.549999,13.799999
bit,bit,13.799999,13.999998999999999
of,of,14.03,14.209999999999999
space,space,14.219999,14.639999
around,around,14.679999,15.109999
you,you,15.11,15.41
the,the,15.719999,15.849999
way,way,15.849999,16.019999000000002
that,that,16.02,16.16
this,this,16.16,16.29
workout,workout,16.32,16.61
is,is,16.639999,16.769999
structured,structured,16.77,17.19
today,today,17.190001,17.450001
is,is,17.469999,17.639999000000003
we,we,17.639999,17.779999
are,are,17.779999,17.839999
going,going,17.84,18.02
to,to,18.02,18.09
have,have,18.09,18.38
three,three,18.440001,18.970001
mini,mini,18.99,19.369999999999997
circuits,circuits,19.37,19.86
within,within,19.87,20.470000000000002
our,our,20.509999999999998,20.819999999999997
15,<unk>,20.84,21.37
minute,minute,21.37,21.720000000000002
workout,workout,21.72,22.299999999999997
each,each,22.71,22.95
of,of,22.95,23.09
the,the,23.09,23.23
exercises,exercises,23.23,23.91
are,are,23.93,24.07
going,going,24.07,24.32
to,to,24.32,24.44
be,be,24.45,24.65
30,<unk>,24.65,25.099999999999998
seconds,seconds,25.11,25.61
each,each,25.65,26.119999999999997
and,and,26.32,26.52
we're,we're,26.52,26.64
not,not,26.639999,26.889999
going,going,26.91,27.09
to,to,27.09,27.14
be,be,27.139999,27.279999
taking,taking,27.28,27.71
any,any,27.73,28.03
rest,rest,28.03,28.42
at,at,28.57,28.76
all,all,28.78,29.240000000000002
during,during,29.25,29.73
the,the,29.78,29.990000000000002
next,next,29.990000000000002,30.410000000000004
15,<unk>,30.46,30.67
minutes,minutes,31.049999,31.399999
but,but,31.4,31.549999999999997
i,i,31.549999,31.609999
promise,promise,31.61,32.019999999999996
it's,it's,32.28,32.44
going,going,32.44,32.599999999999994
to,to,32.599999,32.679998999999995
fly,fly,32.679999,33.009999
by,by,33.009999,33.369999
you,you,33.4,33.53
guys,guys,33.53,33.72
are,are,33.719999,33.799999
really,really,33.809999,34.069998999999996
going,going,34.07,34.21
to,to,34.209998999999996,34.239999
enjoy,enjoy,34.239999999999995,34.559999999999995
this,this,34.559999000000005,34.749999
one,one,34.75,35.03
make,make,35.09,35.35
sure,sure,35.35,35.53
that,that,35.529999000000004,35.569999
you,you,35.58,35.73
can,can,35.730000000000004,35.89
see,see,35.889999,36.009999
your,your,36.010000000000005,36.17
screen,screen,36.17,36.64
so,,,
you,,,
can,,,
follow,follow,37.239999999999995,37.529999999999994
along,,,
with,with,37.93,38.13
me,me,38.13,38.46
and,and,38.77,39.010000000000005
without,without,39.01,39.25
further,further,39.25,39.53
ado,ado,39.53,39.93
let's,let's,40.06,40.47
get,get,40.47,40.72
to,to,40.72,40.87
it,it,40.87,41.05
all,,,
right,,,
guys,,,
we're,,,
starting,,,
off,,,
nice,,,
and,and,46.38,46.46
simple,simple,46.46,47.02
just,just,47.03,47.410000000000004
with,with,47.44,47.78
a,a,47.809999,48.109998999999995
jog,jog,48.16,48.73
in,in,48.74,49.03
place,place,49.04,49.54
like,like,50.12,50.4
so,so,50.4,50.71
you,you,51.9,52.16
can,can,52.16,52.36
bring,bring,52.58,52.82
those,those,52.82,53.07
feet,feet,53.07,53.31
up,up,53.34,53.56
to,to,53.57,53.71
kick,kick,53.75,53.92
your,your,53.92,53.96
bum,bum,54.230000000000004,54.580000000000005
or,or,55.289999,55.519999
you,,,
can,,,
just,,,
keep,,,
it,,,
nice,,,
and,and,56.15,56.48
small,small,56.49,57.080000000000005
keep,keep,57.39,57.42
that,that,60.05,60.269999999999996
core,core,60.269999999999996,60.51
nice,nice,60.51,60.76
and,and,60.76,60.91
tight,tight,60.92,61.22
and,and,61.29,61.49
keep,keep,61.49,61.690000000000005
those,those,61.69,61.87
arms,arms,61.92,62.21
moving,moving,62.21,62.65
all,all,79.93,80.07000000000001
right,right,80.07,80.30999999999999
next,next,80.32,80.58999999999999
up,up,80.78999999999999,81.03999999999999
we're,we're,81.059999,81.28999900000001
just,just,81.28999999999999,81.49
gonna,gonna,81.49,81.75
do,do,81.75,81.94
some,some,81.94,82.17999999999999
marches,marches,82.19,82.64
in,in,82.76,83.0
place,place,83.03999999999999,83.52
so,so,83.94,84.07
bringing,bringing,84.07,84.39999999999999
those,those,84.4,84.65
knees,knees,84.66,84.95
up,up,84.969999,85.169999
nice,nice,85.17,85.43
and,and,85.429999,85.569999
high,high,85.57,85.78999999999999
keeping,keeping,85.78999999999999,86.13999999999999
that,that,86.139999,86.469999
core,core,86.78,87.0
nice,nice,87.0,87.27
and,and,87.27,87.39999999999999
tight,tight,87.41,87.84
arms,arms,88.9,89.24000000000001
moving,moving,89.25,89.74
if,if,90.039999,90.239999
you,you,90.24,90.28999999999999
want,want,90.289999,90.579999
to,to,90.58,90.63
increase,increase,90.63,91.03
the,the,91.039999,91.16999899999999
intensity,intensity,91.17,91.79
a,a,91.81,91.9
little,little,91.9,92.08000000000001
bit,bit,92.08,92.27
you,you,92.27,92.38
can,can,92.38,92.53
add,add,92.53,92.71000000000001
a,a,92.71,92.75999999999999
bit,bit,92.76,92.88000000000001
of,of,92.88,93.0
a,a,93.0,93.07
hope,hope,93.08,93.2
hear,hear,100.9,101.10000000000001
me,me,101.10000000000001,101.27000000000001
all,,,
right,right,114.07,114.36999999999999
next,next,114.37,114.5
up,up,114.5,114.52
feet,feet,115.34,115.55
nice,nice,115.57,115.82
and,and,115.82,115.91
wide,wide,115.96,116.24
touching,touching,116.84,117.28
opposite,opposite,117.349999,117.909999
toe,toe,117.92,118.3
coming,coming,118.32,118.66
up,up,118.66,118.78
for,for,119.19,119.34
a,a,119.34,119.41
job,job,134.759999,134.979999
all,all,134.98,135.0
right,right,147.06,147.29
next,next,147.29,147.57
up,up,147.57,147.81
we're,we're,148.13,148.26
doing,doing,148.26,148.49
a,a,148.49,148.55
jumping,jumping,148.55,148.87
jack,jack,148.87,149.34
and,and,150.37,150.62
then,then,150.62,150.79
crunching,crunching,151.05,151.53
bringing,bringing,151.53,151.78
the,the,151.78,151.89000000000001
opposite,opposite,151.89,152.39
elbow,elbow,152.4,152.73000000000002
to,to,152.73,152.88
me,me,152.88,153.10999999999999
out,out,153.59,153.89000000000001
and,and,154.41,154.65
in,in,155.0,155.13
those,those,169.17000000000002,169.26
arms,arms,169.43,169.78
nice,nice,169.79,169.98999999999998
and,and,172.96999999999997,172.99999999999997
strong,strong,172.99999999999997,173.04999999999998
good,good,179.4,179.62
all,all,179.67000000000002,179.81
right,right,179.809999,179.979999
next,next,179.99,180.24
up,up,180.24,180.43
four,four,180.44,180.72
punches,punches,180.76,181.23
one,one,181.26,181.54
two,two,181.67,181.94
three,three,182.0,182.35
four,four,182.43,182.76000000000002
coming,coming,183.4,183.69
down,down,183.69,183.97
into,into,183.97,184.23
a,a,184.23,184.34
squat,squat,184.34,184.66
position,position,184.66,185.07
holding,holding,185.09,185.66
one,one,185.82,186.04999999999998
two,two,186.22,186.54
three,three,186.61,187.0
four,four,187.03,187.3
up,up,187.36,187.49
get,get,199.49,199.68
nice,nice,199.68,199.81
and,and,199.98,200.07999999999998
low,low,200.08,200.55
nice,nice,201.73,201.91
strong,strong,201.99,202.39000000000001
arms,arms,202.43,202.78
all,all,207.74,207.89000000000001
right,right,207.889999,208.079999
we're,we're,208.09,208.27
going,going,208.3,208.34
to,to,208.34,208.36
repeat,,,
that,,,
all,all,209.099999,209.339999
again,again,210.429999,210.94999900000002
so,so,211.24,211.52
jogging,jogging,211.52,211.95000000000002
in,in,211.95,212.10999999999999
place,place,212.11,212.35000000000002
that,that,213.27,213.52
was,was,213.52,213.71
circuit,circuit,213.74,214.15
number,number,214.539999,214.859999
one,one,214.889999,215.14999899999998
we're,we're,216.07,216.19
gonna,gonna,216.190001,216.450001
repeat,repeat,216.449999,216.759999
circuit,circuit,216.77,217.14000000000001
number,number,217.14,217.39999999999998
one,one,217.4,217.64000000000001
again,again,217.67,218.04999999999998
and,and,218.84,219.04
then,then,219.04,219.15
we'll,we'll,219.15,219.19
move,move,219.19,219.47
into,into,219.47,219.68
circuit,circuit,219.68,220.04000000000002
number,number,220.04,220.29999999999998
two,two,220.3,220.65
each,each,223.24,223.47
of,of,223.47,223.6
our,our,223.6,223.73999999999998
circuits,circuits,223.74,224.17000000000002
are,are,224.2,224.35999999999999
gonna,gonna,224.36,224.56
start,start,224.559999,224.999999
off,off,225.05,225.37
with,with,225.99,226.18
these,these,226.179999,226.459999
three,three,226.469999,226.869999
same,same,226.88,227.26999999999998
exercises,exercises,227.3,228.11
so,so,228.12,228.24
our,our,228.24,228.38
jogs,jogs,228.38,229.01
our,our,229.41,229.59
marches,marches,229.59,230.28
and,and,231.19,231.32
our,our,231.32,231.44
toe,toe,231.44,231.67
touch,touch,231.719999,232.229999
with,with,232.77,233.0
the,the,233.01,233.1
jump,,,
all,,,
right,,,
five,,,
more,,,
seconds,seconds,301.54,301.88
getting,getting,303.429999,303.699999
ready,ready,303.7,303.87
to,to,303.87,303.89
go,,,
ontario,,,
jumping,,,
jacks,,,
out,,,
and,,,
might,,,
just,just,304.43,304.6
ask,,,
crunchy,,,
to,,,
leave,,,
now,,,
with,with,304.6,304.63
me,me,304.639999,304.699999
good,good,338.98,339.35
punches,punches,339.36,339.97
four,four,340.309999,340.679999
one,one,341.299999,341.559999
two,two,341.559999,341.919999
three,three,342.02,342.33
four,four,342.34,342.66999999999996
down,down,342.699999,343.169999
if,if,347.369999,347.38999900000005
you,you,352.679999,352.809999
want,want,352.809999,352.929999
to,to,352.929999,352.949999
modify,modify,352.95,353.43
this,this,353.429999,353.609999
a,a,353.61,353.7
little,little,353.7,353.94
bit,bit,353.94,354.12
you,you,355.219999,355.42999899999995
can,can,355.429999,355.58999900000003
take,take,355.62,355.82
it,it,355.82,355.89
high,high,355.889999,356.259999
and,and,357.27,357.44
then,then,357.44,357.57
just,just,357.57,357.7
come,come,357.7,357.88
slightly,slightly,357.88,358.3
lower,lower,358.299999,358.639999
you,you,359.41,359.5
don't,don't,359.5,359.63
have,have,359.629999,359.769999
to,to,359.77,359.84999999999997
go,go,359.85,359.97
all,all,359.96999900000003,360.25999900000005
the,the,360.26,360.31
way,way,360.309999,360.499999
to,to,360.5,360.61
the,the,360.75,360.77
full,full,360.77,360.96999999999997
spot,spot,360.97,361.5
good,good,371.429999,371.799999
going,going,372.429999,372.64999900000004
into,into,372.65,372.69
circuit,circuit,372.9,373.21999999999997
number,number,373.219999,373.449999
two,two,373.45,373.65999999999997
we're,we're,373.66,373.84000000000003
starting,starting,373.84,374.28
off,off,374.28,374.38
with,with,374.44,374.51
those,those,374.53,374.82
jogs,jogs,375.57,376.01
marshes,<unk>,376.01,376.02
and,and,377.67,377.89000000000004
toe,toe,377.889999,378.029999
touch,touch,378.029999,378.05999899999995
so,so,382.56,382.64
we're,we're,382.64,382.74
just,just,382.74,382.91
switching,switching,382.92,383.31
up,up,383.31,383.45
our,our,383.45,383.59
last,last,383.59,383.96999999999997
two,two,384.55,384.84000000000003
exercises,exercises,384.84,385.63
in,in,385.93,386.11
each,each,386.11,386.27000000000004
of,of,386.27,386.39
the,the,386.389999,386.439999
circuits,circuits,386.44,386.92
keep,keep,392.559999,392.749999
those,those,392.77,392.97999999999996
