hi,hi,7.32,7.550000000000001
be,be,7.55,7.7299999999999995
fitters,<unk>,7.95,8.25
I'm,i'm,8.5,8.73
your,your,8.73,8.88
coach,coach,8.88,9.22
today,today,9.22,9.59
Allie,allie,9.63,9.950000000000001
Cohen,cohen,9.95,10.5
did,did,10.92,11.08
you,you,11.08,11.2
know,know,11.23,11.38
protein,protein,11.38,11.920000000000002
can,can,11.92,12.05
help,help,12.05,12.25
muscle,muscle,12.25,12.56
recovery,recovery,12.559999,13.119999
after,after,13.12,13.489999999999998
workout,workout,13.49,14.11
check,check,14.54,14.85
out,out,14.86,15.04
be,be,15.049999,15.259999
fit,fit,15.259999,15.499999
whey,<unk>,15.5,15.68
protein,protein,15.679999,16.319999
and,and,16.34,16.53
get,get,16.529999,16.749999
your,your,16.75,16.94
own,own,16.940001,17.270000999999997
at,at,17.299999,17.499999
be,be,17.51,17.700000000000003
fit,fit,17.699999,17.949999
calm,calm,18.21,18.61
you,you,18.89,19.05
ready,ready,19.05,19.32
to,to,19.32,19.42
get,get,19.42,19.66
sweaty,sweaty,19.66,20.21
I,i,20.37,20.53
have,have,20.53,20.73
a,a,20.73,20.84
quick,quick,20.9,21.279999999999998
10,<unk>,21.31,21.5
minute,minute,21.5,21.73
workout,workout,21.73,22.14
for,for,22.14,22.25
you,you,22.25,22.36
today,today,22.36,22.82
it,it,23.37,23.55
has,has,23.55,23.78
four,four,23.79,24.14
circuits,circuits,24.14,24.79
two,two,25.04,25.3
strength,strength,25.3,25.810000000000002
moves,moves,25.81,26.22
and,and,26.439999999999998,26.669999999999998
one,one,26.67,26.87
cardio,cardio,26.869999999999997,27.269999999999996
move,move,27.27,27.64
you,you,28.189999999999998,28.36
guys,guys,28.36,28.64
ready,ready,28.639999,28.899999
to,to,28.9,29.0
go,go,29.0,29.23
let's,let's,30.04,30.34
do,do,30.34,30.55
it,it,30.55,30.8
all,all,31.099999,31.299999
right,right,31.299999,31.519999
we're,we're,31.54,31.7
going,,,
to,,,
start,start,31.889999,32.149999
with,with,32.15,32.3
a,a,32.299999,32.359999
warm,warm,32.36,32.7
up,up,32.7,32.940000000000005
we're,we're,33.21,33.36
going,,,
to,,,
go,go,33.58,33.769999999999996
into,into,33.769999999999996,34.15
a,a,34.15,34.25
wide,wide,34.25,34.67
squat,squat,34.67,34.910000000000004
squat,squat,35.379999,35.799999
right,right,35.799999,36.029999
here,here,36.029999000000004,36.419999000000004
feet,feet,36.760000000000005,37.00000000000001
back,back,37.010000000000005,37.31
in,in,37.32,37.42
the,the,37.43,37.53
center,center,37.53,38.03
and,and,38.24,38.42
then,then,38.42,38.690000000000005
one,one,38.7,39.06
to,to,39.06,39.2
the,the,39.2,39.36
other,other,39.36,39.63
side,side,39.63,40.04
good,good,40.04,40.32
so,so,40.32,40.410000000000004
you're,you're,40.41,40.54
doing,doing,40.54,40.85
one,one,40.85,41.13
right,right,41.13,41.480000000000004
and,and,41.730000000000004,41.93000000000001
one,one,41.93,42.16
left,left,42.16,42.4
let's,let's,43.12,43.43
go,go,43.43,43.74
to,to,44.34,44.46
the,the,44.46,44.59
side,side,44.59,45.13
good,good,45.889999,46.289999
give,give,46.719999,46.879999
me,me,46.88,47.0
that,that,47.0,47.23
squat,squat,47.230000000000004,47.57000000000001
we're,we're,47.57,47.69
just,just,47.71,47.95
getting,getting,47.980000000000004,48.220000000000006
those,those,48.219999,48.459999
legs,legs,48.46,48.95
nice,nice,49.139999,49.499999
and,and,49.5,49.69
warm,warm,49.69,50.23
big,big,50.809999,51.059999
inhale,inhale,51.059999,51.389998999999996
big,big,51.389999,51.639999
exhale,exhale,51.639999,52.259999
perfect,perfect,52.699999,53.079999
getting,getting,53.09,53.32
that,that,53.32,53.51
body,body,53.510000000000005,54.150000000000006
ready,ready,54.799999,55.129999
to,to,55.17,55.230000000000004
get,get,55.23,55.41
really,really,55.42,56.06
sweaty,sweaty,56.06,56.6
perfect,perfect,57.27,57.900000000000006
go,go,58.74000000000001,58.84
ahead,ahead,58.84,58.88
back,back,59.05,59.309999999999995
to,to,59.31,59.45
the,the,59.45,59.57
middle,middle,59.57,59.95
