ORIGINAL_WORD,START_TIME,END_TIME
today's,0.29,0.6599999999999999
workout,0.66,1.17
is,1.19,1.39
a,1.56,1.6800000000000002
hundred,1.8,2.21
percent,2.21,2.72
low,2.96,3.26
impact,3.26,3.82
it's,4.07,4.3100000000000005
all,4.38,4.68
standing,4.7,5.390000000000001
it's,5.64,5.96
ideal,5.96,6.77
for,6.79,6.94
new,6.94,7.16
exercisers,7.16,7.95
and,7.95,8.07
people,8.07,8.42
returning,8.63,9.24
to,9.24,9.37
exercise,9.37,10.06
and,10.21,10.64
it,11.21,11.420000000000002
features,11.429999,12.109999
real,12.349999,12.949999
body,12.98,13.29
project,13.309999,13.629999
members,13.63,13.94
enjoy,14.28,14.7
welcome,14.799999,15.389999
to,15.53,15.88
a,15.92,16.04
real,16.039999,16.619999
start,16.68,17.35
plus,17.440001,17.860001
let's,17.889999,18.079999
get,18.08,18.24
the,18.24,18.32
knees,18.32,18.67
up,18.68,18.88
into,18.88,19.11
the,19.11,19.21
hands,19.21,19.55
guys,19.56,19.82
get,19.82,19.95
the,19.96,20.05
core,20.05,20.41
nice,20.41,20.76
and,20.76,20.91
tight,20.94,21.34
how,21.74,21.860000000000003
you,21.86,22.02
feeling,22.02,22.36
you,22.36,22.46
ready,22.46,22.71
for,22.71,22.81
this,22.81,22.99
Wade,22.99,23.3
you,23.77,23.95
ready,23.95,24.26
Angie,24.27,24.76
this,25.33,25.61
is,25.95,26.36
the,26.5,26.67
big,26.7,26.93
one,26.929999,27.099999000000004
the,27.099999,27.209999
real,27.22,27.67
start,,
plus,28.15,28.46
workout,28.46,28.99
today,28.99,29.3
and,29.34,29.49
we,29.49,29.64
have,29.65,29.92
Wade,29.92,30.380000000000003
and,30.41,30.57
Angie,30.58,31.09
Mullins,,
with,31.53,31.73
us,31.73,31.98
and,34.65,34.83
they're,34.83,34.96
here,34.959999,35.36999899999999
to,35.6,35.72
show,35.719999,36.009999
you,36.010000000000005,36.60000000000001
how,36.84,37.17
it's,37.17,37.39
done,37.39,37.6
I,,
can't,,
tell,38.03,38.16
you,38.16,38.28
how,38.28,38.43
excited,,
we,38.99,39.11
are,39.11,39.24
to,39.24,39.31
have,39.32,39.5
these,39.5,39.72
guys,39.72,39.93
all,,
the,40.12,40.22
way,40.22,40.48
over,40.49,40.64
from,40.65,40.89
Vermont,40.9,41.65
